,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Ad Name,Date première diffusion,Date dernière diffusion,Durée (jour),SUM de Impr,SUM de Cost,SUM de Clic,Signup,Total 2-sec views,Total Install,Total Signup,,,,,,,,,,,
2026-02-15,SHORT_THEORY_9-16_secret_5sfznyC2.mp4,01/01,16/02,47,21 837,37,107,27,4 778,16,11,,,,,,,,,,,
2026-02-15,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,29 156,34,61,22,1 334,14,8,,,,,,,,,,,
2026-02-15,Social_FOMO_CPF_Laetitia_9-16_Hook01_1tkTBW5f.mp4,06/02,20/02,15,12 931,26,29,8,1 935,5,3,,,,,,,,,,,
2026-02-15,Scop_RS_916_POVCAM_OUBLIE LES MANUELS.mp4,03/02,16/02,14,14 823,24,33,1,2 015,1,0,,,,,,,,,,,
2026-02-15,Image carousel 5,30/01,13/05,104,16 641,20,112,10,0,7,3,,,,,,,,,,,
2026-02-15,_001,06/01,03/04,93,15 505,19,43,10,3 049,8,2,,,,,,,,,,,
2026-02-15,SHORT_THEORY_9-16_tableau_CuJ9zrIW.mp4,01/01,16/02,47,7 865,7,14,4,954,3,1,,,,,,,,,,,
2026-02-15,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,597,4,4,4,92,2,2,,,,,,,,,,,
2026-02-15,SV_THEORY_9-16_Adrian_Hook3_zCRAuBOf.mp4,03/02,16/02,14,3 918,4,4,2,294,1,1,,,,,,,,,,,
2026-02-15,Image carousel 7,30/01,11/06,133,10 290,3,22,3,0,2,1,,,,,,,,,,,
2026-02-15,7600417503722799112,29/01,16/02,19,1 348,2,11,0,224,0,0,,,,,,,,,,,
2026-02-15,Image carousel 2,30/01,17/03,47,85,1,3,0,0,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,1 018,1,2,0,99,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,2 161,1,1,1,103,1,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,3 135,1,4,2,174,1,1,,,,,,,,,,,
2026-02-15,SHORT_THEORY_9-16_voiture_svbHiKAw.mp4,03/02,16/02,14,200,0,0,0,48,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,28/03,27/02,16,468,0,2,0,68,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,28/03,27/02,16,188,0,0,0,10,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,28/03,27/02,16,60,0,0,0,7,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,7,0,0,0,0,0,0,,,,,,,,,,,
2026-02-15,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,18,0,0,0,2,0,0,,,,,,,,,,,
2026-02-15,Ornikar c’est la base !,29/01,23/02,26,27,0,0,0,7,0,0,,,,,,,,,,,
2026-02-16,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,100 432,136,335,52,22 704,34,18,,,,,,,,,,,
2026-02-16,chasr-rs-video-9-16-conduiteCPF-dorian-ReponseArticle-hook2.mp4,01/01,20/02,51,94 806,134,287,72,29 859,50,22,,,,,,,,,,,
2026-02-16,chasr-rs-video-9-16-conduiteCPF-dorian-VraieQuestion-hook3.mp4,01/01,20/02,51,88 935,129,276,54,10 637,40,14,,,,,,,,,,,
2026-02-16,Social_FOMO_CPF_Laetitia_9-16_Hook03_20BkOZdN.mp4,06/02,20/02,15,79 195,107,206,74,9 023,51,23,,,,,,,,,,,
2026-02-16,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,04/01,02/03,61,58 193,69,302,33,17 786,21,12,,,,,,,,,,,
2026-02-16,Social_FOMO_CPF_Laetitia_9-16-Hook02_QDTWEa7d.mp4,06/02,20/02,15,33 730,54,74,21,4 427,15,6,,,,,,,,,,,
2026-02-16,Image carousel 6,30/01,11/06,133,27 657,51,94,18,2,13,5,,,,,,,,,,,
2026-02-16,Social_FOMO_CPF_Laetitia_9-16_Hook01_1tkTBW5f.mp4,06/02,20/02,15,16 806,36,43,22,2 673,14,8,,,,,,,,,,,
2026-02-16,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,26 177,34,97,29,3 673,17,12,,,,,,,,,,,
2026-02-16,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,27 170,31,118,20,7 810,11,9,,,,,,,,,,,
2026-02-16,Image carousel 5,30/01,13/05,104,8 596,28,138,11,0,7,4,,,,,,,,,,,
2026-02-16,#CapCut,01/01,16/02,47,15 661,25,69,9,2 656,5,4,,,,,,,,,,,
2026-02-16,SHORT_THEORY_9-16_secret_5sfznyC2.mp4,01/01,16/02,47,11 750,20,61,11,2 604,6,5,,,,,,,,,,,
2026-02-16,_001,06/01,03/04,93,12 663,14,22,6,2 100,5,1,,,,,,,,,,,
2026-02-16,chasr-rs-video-9-16-code-vanina-LiveTikTok-hook1_YteVF9Qo.mp4,01/01,16/02,47,9 065,14,35,8,1 336,5,3,,,,,,,,,,,
2026-02-16,Scop_RS_916_POVCAM_SI ÇA TE SAOULE DE RÉVISER TON CODE.mp4,01/01,16/02,47,6 449,10,17,7,414,5,2,,,,,,,,,,,
2026-02-16,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,7 637,9,12,8,372,5,3,,,,,,,,,,,
2026-02-16,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 171,7,9,12,164,7,5,,,,,,,,,,,
2026-02-16,Scop_RS_916_POVCAM_OUBLIE LES MANUELS.mp4,03/02,16/02,14,3 448,5,6,2,436,1,1,,,,,,,,,,,
2026-02-16,Image carousel 2,30/01,17/03,47,15 264,3,34,6,0,5,1,,,,,,,,,,,
2026-02-16,SHORT_THEORY_9-16_tableau_CuJ9zrIW.mp4,01/01,16/02,47,2 149,2,3,0,242,0,0,,,,,,,,,,,
2026-02-16,Image carousel 7,30/01,11/06,133,3 578,1,8,4,0,2,2,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,941,1,0,0,56,0,0,,,,,,,,,,,
2026-02-16,7600417503722799112,29/01,16/02,19,364,1,3,0,68,0,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,707,1,3,0,36,0,0,,,,,,,,,,,
2026-02-16,SV_THEORY_9-16_Adrian_Hook3_zCRAuBOf.mp4,03/02,16/02,14,760,1,0,0,55,0,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,513,0,1,0,21,0,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,28/03,27/02,16,267,0,2,0,36,0,0,,,,,,,,,,,
2026-02-16,SHORT_THEORY_9-16_voiture_svbHiKAw.mp4,03/02,16/02,14,70,0,1,1,18,1,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,7,0,0,0,1,0,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,28/03,27/02,16,21,0,0,0,1,0,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,28/03,27/02,16,5,0,0,0,0,0,0,,,,,,,,,,,
2026-02-16,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,1,0,0,0,0,0,0,,,,,,,,,,,
2026-02-16,Ornikar c’est la base !,29/01,23/02,26,3,0,0,0,1,0,0,,,,,,,,,,,
2026-02-17,chasr-rs-video-9-16-conduiteCPF-dorian-ReponseArticle-hook2.mp4,01/01,20/02,51,138 766,184,427,69,47 700,49,20,,,,,,,,,,,
2026-02-17,chasr-rs-video-9-16-conduiteCPF-dorian-VraieQuestion-hook3.mp4,01/01,20/02,51,106 927,132,288,44,13 453,33,11,,,,,,,,,,,
2026-02-17,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,103 139,121,351,52,24 037,37,15,,,,,,,,,,,
2026-02-17,Social_FOMO_CPF_Laetitia_9-16_Hook03_20BkOZdN.mp4,06/02,20/02,15,63 352,87,177,41,7 603,28,13,,,,,,,,,,,
2026-02-17,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,59 361,75,275,49,17 645,28,21,,,,,,,,,,,
2026-02-17,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,50 485,63,265,34,16 350,20,14,,,,,,,,,,,
2026-02-17,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,33 475,47,114,18,5 079,11,7,,,,,,,,,,,
2026-02-17,Social_FOMO_CPF_Laetitia_9-16-Hook02_QDTWEa7d.mp4,06/02,20/02,15,34 296,46,84,12,4 859,11,1,,,,,,,,,,,
2026-02-17,Image carousel 6,30/01,11/06,133,30 878,40,112,14,1,9,5,,,,,,,,,,,
2026-02-17,Social_FOMO_CPF_Laetitia_9-16_Hook01_1tkTBW5f.mp4,06/02,20/02,15,24 001,37,56,6,3 485,5,1,,,,,,,,,,,
2026-02-17,Image carousel 5,30/01,13/05,104,12 300,25,130,9,0,7,2,,,,,,,,,,,
2026-02-17,_001,01/01,03/04,93,10 673,12,24,4,1 833,2,2,,,,,,,,,,,
2026-02-17,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 197,9,6,16,126,10,6,,,,,,,,,,,
2026-02-17,Image carousel 2,30/01,17/03,47,740,4,28,0,0,0,0,,,,,,,,,,,
2026-02-17,Image carousel 7,30/01,11/06,133,10 460,4,23,4,0,2,2,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,903,1,2,0,52,0,0,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,12/02,27/02,16,1 431,1,4,2,190,1,1,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,1 301,1,2,0,75,0,0,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,985,1,1,0,51,0,0,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,12/02,27/02,16,131,0,1,0,16,0,0,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,5,0,0,0,1,0,0,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,12/02,27/02,16,9,0,0,0,1,0,0,,,,,,,,,,,
2026-02-17,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,4,0,0,0,0,0,0,,,,,,,,,,,
2026-02-18,chasr-rs-video-9-16-conduiteCPF-dorian-ReponseArticle-hook2.mp4,01/01,20/02,51,119 832,181,412,96,41 339,63,33,,,,,,,,,,,
2026-02-18,chasr-rs-video-9-16-conduiteCPF-dorian-VraieQuestion-hook3.mp4,01/01,20/02,51,130 304,176,341,52,17 438,34,18,,,,,,,,,,,
2026-02-18,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,82 649,118,285,33,19 061,24,9,,,,,,,,,,,
2026-02-18,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,94 986,96,488,48,32 670,31,17,,,,,,,,,,,
2026-02-18,Social_FOMO_CPF_Laetitia_9-16_Hook03_20BkOZdN.mp4,06/02,20/02,15,72 699,85,204,37,9 160,24,13,,,,,,,,,,,
2026-02-18,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,45 650,57,186,26,12 920,14,12,,,,,,,,,,,
2026-02-18,Social_FOMO_CPF_Laetitia_9-16-Hook02_QDTWEa7d.mp4,06/02,20/02,15,36 051,56,77,20,5 117,14,6,,,,,,,,,,,
2026-02-18,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,20 826,35,80,16,3 590,9,7,,,,,,,,,,,
2026-02-18,Social_FOMO_CPF_Laetitia_9-16_Hook01_1tkTBW5f.mp4,06/02,20/02,15,18 949,27,41,8,2 668,5,3,,,,,,,,,,,
2026-02-18,Image carousel 6,30/01,11/06,133,23 589,21,77,8,0,5,3,,,,,,,,,,,
2026-02-18,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 628,15,9,15,195,9,6,,,,,,,,,,,
2026-02-18,_001,01/01,03/04,93,9 362,12,36,9,1 700,7,2,,,,,,,,,,,
2026-02-18,Image carousel 5,30/01,13/05,104,40 016,10,149,12,0,10,2,,,,,,,,,,,
2026-02-18,Image carousel 2,30/01,17/03,47,8 490,3,32,0,0,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,1 078,3,4,0,83,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,12/02,27/02,16,1 203,2,5,2,166,1,1,,,,,,,,,,,
2026-02-18,Image carousel 7,30/01,11/06,133,9 071,2,17,1,0,1,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,1 340,1,2,0,69,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,522,1,0,0,33,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,16,0,0,0,2,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,12/02,27/02,16,39,0,0,0,4,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,12/02,27/02,16,25,0,0,0,2,0,0,,,,,,,,,,,
2026-02-18,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,3 109,0,3,2,449,1,1,,,,,,,,,,,
2026-02-18,Ornikar c’est la base !,29/01,23/02,26,166,0,0,0,50,0,0,,,,,,,,,,,
2026-02-19,chasr-rs-video-9-16-conduiteCPF-dorian-ReponseArticle-hook2.mp4,01/01,20/02,51,159 441,241,505,106,53 578,71,35,,,,,,,,,,,
2026-02-19,chasr-rs-video-9-16-conduiteCPF-dorian-VraieQuestion-hook3.mp4,01/01,20/02,51,98 153,137,257,44,12 776,28,16,,,,,,,,,,,
2026-02-19,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,85 111,103,494,53,27 362,34,19,,,,,,,,,,,
2026-02-19,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,72 564,102,236,22,16 465,15,7,,,,,,,,,,,
2026-02-19,Social_FOMO_CPF_Laetitia_9-16_Hook03_20BkOZdN.mp4,06/02,20/02,15,53 225,64,127,27,7 010,18,9,,,,,,,,,,,
2026-02-19,Social_FOMO_CPF_Laetitia_9-16-Hook02_QDTWEa7d.mp4,06/02,20/02,15,39 651,58,85,18,5 412,13,5,,,,,,,,,,,
2026-02-19,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,24 865,32,97,20,6 457,12,8,,,,,,,,,,,
2026-02-19,Social_FOMO_CPF_Laetitia_9-16_Hook01_1tkTBW5f.mp4,06/02,20/02,15,21 299,30,65,4,2 790,3,1,,,,,,,,,,,
2026-02-19,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,17 416,28,50,12,2 422,7,5,,,,,,,,,,,
2026-02-19,Image carousel 5,30/01,13/05,104,33 122,27,150,7,1,6,1,,,,,,,,,,,
2026-02-19,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 897,15,9,12,255,6,6,,,,,,,,,,,
2026-02-19,Image carousel 6,30/01,11/06,133,22 433,13,46,5,0,3,2,,,,,,,,,,,
2026-02-19,_001,01/01,03/04,93,8 904,10,27,4,1 546,2,2,,,,,,,,,,,
2026-02-19,Image carousel 2,30/01,17/03,47,6 456,4,38,4,0,2,2,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,876,3,1,0,70,0,0,,,,,,,,,,,
2026-02-19,Image carousel 7,30/01,11/06,133,13 137,3,34,3,0,2,1,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,12/02,27/02,16,1 274,2,6,0,159,0,0,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,2 168,2,4,2,125,1,1,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,843,1,1,3,38,1,2,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,70,0,1,0,4,0,0,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,80,0,1,0,18,0,0,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,12/02,27/02,16,41,0,0,0,6,0,0,,,,,,,,,,,
2026-02-19,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,12/02,27/02,16,38,0,0,0,5,0,0,,,,,,,,,,,
2026-02-19,Ornikar c’est la base !,29/01,23/02,26,207,0,0,0,45,0,0,,,,,,,,,,,
2026-02-20,chasr-rs-video-9-16-conduiteCPF-dorian-ReponseArticle-hook2.mp4,01/01,20/02,51,71 014,103,216,63,24 306,39,24,,,,,,,,,,,
2026-02-20,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,71 040,92,309,80,22 695,55,25,,,,,,,,,,,
2026-02-20,chasr-rs-video-9-16-conduiteCPF-dorian-VraieQuestion-hook3.mp4,01/01,20/02,51,40 841,58,116,19,5 839,16,3,,,,,,,,,,,
2026-02-20,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,28 967,51,105,25,4 295,16,9,,,,,,,,,,,
2026-02-20,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,24 062,35,95,8,5 535,6,2,,,,,,,,,,,
2026-02-20,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,21 889,35,95,19,6 072,12,7,,,,,,,,,,,
2026-02-20,Social_FOMO_CPF_Laetitia_9-16-Hook02_QDTWEa7d.mp4,06/02,20/02,15,17 572,27,38,15,2 755,10,5,,,,,,,,,,,
2026-02-20,Social_FOMO_CPF_Laetitia_9-16_Hook03_20BkOZdN.mp4,06/02,20/02,15,18 188,22,47,12,2 597,9,3,,,,,,,,,,,
2026-02-20,Image carousel 5,30/01,13/05,104,19 725,18,111,12,1,8,4,,,,,,,,,,,
2026-02-20,Social_FOMO_CPF_Laetitia_9-16_Hook01_1tkTBW5f.mp4,06/02,20/02,15,9 510,16,18,7,1 306,5,2,,,,,,,,,,,
2026-02-20,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 821,16,5,15,220,9,6,,,,,,,,,,,
2026-02-20,_001,01/01,03/04,93,9 405,12,26,4,1 622,3,1,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,1 696,11,11,8,154,5,3,,,,,,,,,,,
2026-02-20,Image carousel 6,30/01,11/06,133,19 202,10,35,2,0,1,1,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,12/02,27/02,16,6 248,9,18,10,933,6,4,,,,,,,,,,,
2026-02-20,Image carousel 2,30/01,17/03,47,12 314,7,50,4,0,4,0,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,1 241,4,3,2,70,1,1,,,,,,,,,,,
2026-02-20,Image carousel 7,30/01,11/06,133,12 274,3,16,2,0,2,0,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,2 606,3,6,0,169,0,0,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,12/02,27/02,16,98,0,0,0,15,0,0,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,28,0,0,0,6,0,0,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,12/02,27/02,16,46,0,1,0,3,0,0,,,,,,,,,,,
2026-02-20,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,207,0,1,0,33,0,0,,,,,,,,,,,
2026-02-20,Ornikar c’est la base !,29/01,23/02,26,136,0,0,0,27,0,0,,,,,,,,,,,
2026-02-21,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,86 039,106,391,112,26 897,72,40,,,,,,,,,,,
2026-02-21,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,29 324,47,119,16,4 656,11,5,,,,,,,,,,,
2026-02-21,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,23 248,35,119,35,7 032,21,14,,,,,,,,,,,
2026-02-21,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 589,9,11,9,202,5,4,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,12/02,27/02,16,6 129,9,17,3,830,2,1,,,,,,,,,,,
2026-02-21,_001,01/01,03/04,93,5 387,7,5,1,1 019,0,1,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-02_kyaravocado_2026-01-28T18-55-27Z_gTI6Puxr.mp4,28/03,27/02,16,2 112,6,5,2,224,1,1,,,,,,,,,,,
2026-02-21,Image carousel 2,30/01,17/03,47,5 441,4,46,1,0,1,0,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-01_nxapic_2026-01-22T01-58-49Z_DEid5q1m.mp4,28/03,27/02,16,1 378,3,3,3,89,2,1,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-03_kyaravocado_2026-01-28T16-06-25Z_aQIdcH0t.mp4,28/03,27/02,16,2 115,2,4,0,155,0,0,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-02_ilanasmr-ytb_2026-01-22T09-21-29Z_bSDimnls.mp4,12/02,27/02,16,532,1,4,0,44,0,0,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-01_ilanasmr-ytb_2026-01-25T00-51-38Z_h8x1iesA.mp4,12/02,27/02,16,57,0,0,2,7,2,0,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-03_ilanasmr-ytb_2026-01-22T14-03-33Z_W3UL5mli.mp4,12/02,27/02,16,56,0,0,0,7,0,0,,,,,,,,,,,
2026-02-21,ornikar_ornikar-x-deezer-01_kyaravocado_2026-01-29T14-12-16Z_Ex91yLMC.mp4,12/02,27/02,16,40,0,0,0,6,0,0,,,,,,,,,,,
2026-02-21,Ornikar c’est la base !,29/01,23/02,26,81,0,0,0,14,0,0,,,,,,,,,,,
2026-02-22,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,54 756,73,270,53,17 408,34,19,,,,,,,,,,,
2026-02-22,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,30 702,48,129,26,4 778,15,11,,,,,,,,,,,
2026-02-22,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,21 501,32,83,29,6 314,18,11,,,,,,,,,,,
2026-02-22,@Ornikar 💗 #code #codedelaroute #permis #ornikar #permisdeconduire,23/01,24/03,61,1 859,13,8,7,298,4,3,,,,,,,,,,,
2026-02-22,ornikar_ornikar-x-deezer-03_aleed-ed_2026-01-29T13-53-31Z_4QUjOgZq.mp4,12/02,27/02,16,6 682,11,23,9,1 043,6,3,,,,,,,,,,,
2026-02-22,_001,01/01,03/04,93,7 980,10,21,3,1 361,0,3,,,,,,,,,,,
