,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Ad Name,Date première diffusion,Date dernière diffusion,Durée (jour),SUM de Impr,SUM de Cost,SUM de Clic,Signup,Total 2-sec views,Total Install,Total Signup,,,,,,,,,,,
2026-01-03,chasr-rs-video-9-16-code-vanina-LiveTikTok-hook1_YteVF9Qo.mp4,01/01,16/02,47,50 903,64,185,37,5 288,23,"14,0 €",,,,,,,,,,,
2026-01-03,Scop_RS_916_POVCAM_SI ÇA TE SAOULE DE RÉVISER TON CODE.mp4,01/01,16/02,47,27 126,37,59,6,2 303,2,"4,0 €",,,,,,,,,,,
2026-01-03,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,17 009,21,34,13,882,7,"6,0 €",,,,,,,,,,,
2026-01-03,SHORT_THEORY_9-16_secret_5sfznyC2.mp4,01/01,16/02,47,11 870,19,50,2,2 017,1,"1,0 €",,,,,,,,,,,
2026-01-03,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,10 372,18,45,5,2 504,3,"2,0 €",,,,,,,,,,,
2026-01-03,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,6 771,11,24,11,1 835,6,"5,0 €",,,,,,,,,,,
2026-01-03,TTCX_175795110111_snaptik_7543559839289462038_v2.mp4,01/01,05/01,5,861,1,2,2,124,1,"1,0 €",,,,,,,,,,,
2026-01-03,TTCX_17579511016_snaptik_7541025327053622550_v2.mp4,01/01,05/01,5,239,1,0,0,21,0,"0,0 €",,,,,,,,,,,
2026-01-03,RS_Theory_Rebrand_LaDevinette.mp4,01/01,05/01,5,213,0,0,0,7,0,"0,0 €",,,,,,,,,,,
2026-01-03,TTCX_17579511015_snaptik_7542516443372440854_v2.mp4,01/01,05/01,5,39,0,0,0,7,0,"0,0 €",,,,,,,,,,,
2026-01-03,RS_Theory_Rebrand_LePremierCoup.mp4,01/01,05/01,5,47,0,0,0,8,0,"0,0 €",,,,,,,,,,,
2026-01-04,_001,19/01,03/04,93,517 857,549,1 709,257,89 088,153,"104,0 €",,,,,,,,,,,
2026-01-04,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,300 279,257,961,207,63 176,135,"72,0 €",,,,,,,,,,,
2026-01-04,#CapCut,01/01,16/02,47,157 125,171,532,83,24 560,53,"30,0 €",,,,,,,,,,,
2026-01-04,SHORT_THEORY_9-16_tableau_CuJ9zrIW.mp4,01/01,16/02,47,131 255,167,382,103,12 662,64,"39,0 €",,,,,,,,,,,
2026-01-04,chasr-rs-video-9-16-code-vanina-LiveTikTok-hook1_YteVF9Qo.mp4,01/01,16/02,47,75 325,83,262,45,7 171,26,"19,0 €",,,,,,,,,,,
2026-01-04,Scop_RS_916_POVCAM_SI ÇA TE SAOULE DE RÉVISER TON CODE.mp4,01/01,16/02,47,42 248,44,115,18,2 503,11,"7,0 €",,,,,,,,,,,
2026-01-04,SHORT_THEORY_9-16_secret_5sfznyC2.mp4,01/01,16/02,47,20 905,26,68,10,2 885,5,"5,0 €",,,,,,,,,,,
2026-01-04,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,13 313,22,55,15,3 006,8,"7,0 €",,,,,,,,,,,
2026-01-04,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,21 890,21,54,9,935,5,"4,0 €",,,,,,,,,,,
2026-01-04,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,5 874,10,15,5,1 631,2,"3,0 €",,,,,,,,,,,
2026-01-04,TTCX_175795110111_snaptik_7543559839289462038_v2.mp4,01/01,05/01,5,2 082,2,2,2,236,1,"1,0 €",,,,,,,,,,,
2026-01-04,TTCX_17579511016_snaptik_7541025327053622550_v2.mp4,01/01,05/01,5,274,1,0,0,19,0,"0,0 €",,,,,,,,,,,
2026-01-04,RS_Theory_Rebrand_LaDevinette.mp4,01/01,05/01,5,246,0,0,0,15,0,"0,0 €",,,,,,,,,,,
2026-01-04,TTCX_17579511015_snaptik_7542516443372440854_v2.mp4,01/01,05/01,5,60,0,0,0,9,0,"0,0 €",,,,,,,,,,,
2026-01-04,RS_Theory_Rebrand_LePremierCoup.mp4,01/01,05/01,5,36,0,0,0,2,0,"0,0 €",,,,,,,,,,,
2026-01-05,#CapCut,01/01,16/02,47,371 157,384,1 317,166,55 469,97,"69,0 €",,,,,,,,,,,
2026-01-05,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,207 175,242,511,72,56 544,45,"27,0 €",,,,,,,,,,,
2026-01-05,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,284 314,227,805,138,53 331,90,"48,0 €",,,,,,,,,,,
2026-01-05,@Ornikar la base non ?🫣,05/01,13/05,129,179 957,227,606,63,50 346,38,"25,0 €",,,,,,,,,,,
2026-01-05,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,166 571,209,559,51,49 657,37,"14,0 €",,,,,,,,,,,
2026-01-05,_001,19/01,03/04,93,100 367,113,324,46,19 666,29,"17,0 €",,,,,,,,,,,
2026-01-05,SHORT_THEORY_9-16_tableau_CuJ9zrIW.mp4,01/01,16/02,47,19 308,27,47,15,1 935,9,"6,0 €",,,,,,,,,,,
2026-01-05,Scop_RS_916_POVCAM_SI ÇA TE SAOULE DE RÉVISER TON CODE.mp4,01/01,16/02,47,14 409,14,39,10,1 143,5,"5,0 €",,,,,,,,,,,
2026-01-05,chasr-rs-video-9-16-code-vanina-LiveTikTok-hook1_YteVF9Qo.mp4,01/01,16/02,47,10 131,11,25,6,970,4,"2,0 €",,,,,,,,,,,
2026-01-05,SHORT_THEORY_9-16_secret_5sfznyC2.mp4,01/01,16/02,47,6 733,10,26,8,1 139,5,"3,0 €",,,,,,,,,,,
2026-01-05,SHORT_THEORY_9-16_micro_oDVuNxkU.mp4,01/01,02/03,61,4 419,7,15,1,1 022,1,"0,0 €",,,,,,,,,,,
2026-01-05,Scop_RS_916_POVCAM_PASSE TON CODE RAPIDEMENT.mp4,01/01,16/02,47,5 039,5,8,4,192,1,"3,0 €",,,,,,,,,,,
2026-01-05,SHORT_THEORY_9-16_Maman_ef0C1Dxh.mp4,01/01,01/04,91,1 320,2,7,0,329,0,"0,0 €",,,,,,,,,,,
2026-01-05,TTCX_175795110111_snaptik_7543559839289462038_v2.mp4,01/01,05/01,5,261,0,2,0,31,0,"0,0 €",,,,,,,,,,,
